transcript_id	gene_id	gene_symbol	locaus	TSS	TES	length	Nb_samples_over_10%	Nb_samples_over_25%	Nb_samples_over_50%	Nb_samples_over_75%	cytoplasmic.Naive.000.b1	cytoplasmic.Naive.010.b1	cytoplasmic.Naive.015.b1	cytoplasmic.Naive.020.b1	cytoplasmic.Naive.025.b1	cytoplasmic.Naive.030.b1	cytoplasmic.Naive.035.b1	cytoplasmic.Naive.040.b1	cytoplasmic.Naive.050.b1	cytoplasmic.Naive.060.b1	cytoplasmic.Naive.090.b1	cytoplasmic.Naive.120.b1	cytoplasmic.Naive.000.b2	cytoplasmic.Naive.010.b2	cytoplasmic.Naive.015.b2	cytoplasmic.Naive.020.b2	cytoplasmic.Naive.025.b2	cytoplasmic.Naive.030.b2	cytoplasmic.Naive.040.b2	cytoplasmic.Naive.050.b2	cytoplasmic.Naive.060.b2	cytoplasmic.Naive.075.b2	cytoplasmic.Naive.090.b2	cytoplasmic.Naive.120.b2	cytoplasmic.Naive.000.b3	cytoplasmic.Naive.010.b3	cytoplasmic.Naive.015.b3	cytoplasmic.Naive.020.b3	cytoplasmic.Naive.025.b3	cytoplasmic.Naive.030.b3	cytoplasmic.Naive.040.b3	cytoplasmic.Naive.050.b3	cytoplasmic.Naive.060.b3	cytoplasmic.Naive.075.b3	cytoplasmic.Naive.090.b3	cytoplasmic.Naive.120.b3
ENSMUSG00000032724.5	ENSMUST00000131122.1	Abtb2	chr2:103715080-103718423	103715080	103718423	2875	0	0	0	0	8.87649e-08	2.89283e-08	1.52524e-07	3.18686e-07	5.42457e-08	1.40775e-07	1.45714e-08	1.18764e-09	0.0129026	0.0073968	0.0171646	0.0902859	7.21461e-08	1.89106e-08	1.21126e-07	4.8463e-08	8.60173e-08	1.02887e-08	1.03501e-07	6.18858e-07	0.00869343	0.042971	0.0981038	0.0686274	0.0127954	2.30134e-08	4.13815e-07	2.3683e-08	9.18842e-09	0.0156179	9.26477e-09	2.44231e-08	2.27912e-08	0.0892892	0.205391	0.136173
Total_FPKM							8	8	8	8	0.24994908876490002	0.2182710289283	0.170066152524	0.25723631868607116	0.33423525424569994	0.2682291407750046	0.27215301457139995	0.29601295118764	0.414126714602	0.6039258000189459	5.437454600000005	9.5828959	0.20119107214610002	0.1646650189106	0.288464121126	0.240831048463	0.2160210860173	0.1713670102887	0.193333103501	0.152531618858	0.593039430000003	1.650041	5.349623800066472	15.303127410744601	0.200614617274	0.33519702301363213	0.128171413815	0.224318023683	0.29343100918842	0.26435190000000003	0.28369100926477003	0.3679870244231	0.3967180227912	1.6730996999999999	5.1868810886598	14.5653730379893
Main Isoform FPKM											0.249949	0.218271	0.170066	0.257236	0.282643	0.268229	0.272153	0.286976	0.401224	0.596529	5.42029	9.49261	0.201191	0.164665	0.288464	0.240831	0.216021	0.171367	0.193333	0.152531	0.584346	1.60707	5.25152	15.2345	0.187819	0.335197	0.128171	0.224318	0.293431	0.248734	0.283691	0.367987	0.396718	1.54757	4.98149	14.4292
2nd Main Isoform FPKM											8.87649e-08	2.89283e-08	1.52524e-07	3.18686e-07	0.0515922	1.40775e-07	1.45714e-08	0.00903695	0.0129026	0.0073968	0.0171646	0.0902859	7.21461e-08	1.89106e-08	1.21126e-07	4.8463e-08	8.60173e-08	1.02887e-08	1.03501e-07	6.18858e-07	0.00869343	0.042971	0.0981038	0.0686274	0.0127954	2.30134e-08	4.13815e-07	2.3683e-08	9.18842e-09	0.0156179	9.26477e-09	2.44231e-08	2.27912e-08	0.0892892	0.205391	0.136173
Main Isoform/Total											0.9999996448680791	0.9999998674661491	0.9999991031489938	0.9999987611155657	0.8456408963736245	0.9999994751688642	0.9999999464587963	0.9694710952632896	0.9688435588744855	0.9877521377316321	0.9968432655971039	0.9905784325592017	0.9999996414050621	0.9999998851571504	0.9999995801002928	0.999999798767641	0.9999996018106306	0.9999999399610229	0.9999994646493636	0.9999959427559699	0.98534089040251	0.9739576168107338	0.9816615515907394	0.9955154649829018	0.9362179214661925	0.9999999313429698	0.9999967713939664	0.9999998944222153	0.9999999686862678	0.9409200387816391	0.9999999673420387	0.9999999336305403	0.9999999425506313	0.9249717754417146	0.9604018127369738	0.9906509062531983
2nd Main Isoform / Main											3.5513204693757525e-07	1.3253386844793856e-07	8.968518104735808e-07	1.238885692515822e-06	0.18253485846102682	5.248313940699924e-07	5.3541206600698874e-08	0.03149026399420161	0.03215809622554982	0.012399732452236188	0.0031667309313708307	0.009511177642397612	3.585950663797088e-07	1.1484286278201197e-07	4.198998835209939e-07	2.0123239948345523e-07	3.981895278699756e-07	6.003898066722299e-08	5.353509230188328e-07	4.057260491309963e-06	0.014877196044809068	0.026738723266565862	0.018681029492413626	0.004504735961140832	0.06812622791091423	6.865634238969919e-08	3.22861645770104e-06	1.0557779580773724e-07	3.131373304115789e-08	0.06278956636406764	3.265796236045556e-08	6.636946413867881e-08	5.744937209806462e-08	0.05769638853169808	0.04123083655693377	0.009437321542427855

ENSMUSG00000022126.6	ENSMUST00000022722.6	Acod1	chr14:103046976-103056573	103046976	103056573	2623	36	36	36	36	6.41458	2.55035	2.16289	9.3334	4.1692	12.3001	12.3492	23.0579	90.8313	189.282	452.505	477.28	10.1223	5.24383	13.8016	3.07392	3.08656	4.26986	34.3517	67.5701	161.53	267.664	324.543	448.708	4.40019	6.54987	11.5898	3.22916	2.27404	4.71097	17.0147	44.5153	73.2316	187.553	280.742	470.416
Total_FPKM							36	36	36	36	6.41458	2.55035	2.16289	9.3334	4.1692	12.3001	12.3492	23.0579	90.8313	189.282	452.505	477.28	10.1223	5.24383	13.8016	3.07392	3.08656	4.26986	34.3517	67.5701	161.53	267.664	324.543	448.708	4.40019	6.54987	11.5898	3.22916	2.27404	4.71097	17.0147	44.5153	73.2316	187.553	280.742	470.416
Main Isoform FPKM											6.41458	2.55035	2.16289	9.3334	4.1692	12.3001	12.3492	23.0579	90.8313	189.282	452.505	477.28	10.1223	5.24383	13.8016	3.07392	3.08656	4.26986	34.3517	67.5701	161.53	267.664	324.543	448.708	4.40019	6.54987	11.5898	3.22916	2.27404	4.71097	17.0147	44.5153	73.2316	187.553	280.742	470.416
Main Isoform/Total											1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0

ENSMUSG00000001348.15	ENSMUST00000069330.13	Acp5	chr9:22126726-22131815	22131815	22126726	1356	35	35	28	13	1.63454	1.22954	1.39414	2.55641	1.51813	1.35798	1.76636	1.97384	3.88794	3.48964	9.84607	11.0716	1.19502	1.44197	1.58875	1.42199	1.26516	0.852377	0.00194816	1.34643	3.47545	6.86657	9.57848	15.275	1.76551	2.31546	1.77239	0.993538	1.25662	1.09453	1.22416	2.67278	3.28566	9.62049	13.8247	18.1174
ENSMUSG00000001348.15	ENSMUST00000165735.8	Acp5	chr9:22126726-22135711	22135711	22126726	1376	0	0	0	0	4.91528e-06	2.24934e-06	1.48647e-05	5.34532e-08	4.08296e-09	3.16522e-06	3.10639e-15	2.58387e-05	4.85018e-05	3.07417e-05	6.54337e-05	7.44331e-05	1.21458e-05	2.5921e-09	1.92233e-05	1.75162e-05	3.58698e-08	2.79567e-07	2.91198e-39	2.01594e-06	1.74835e-05	3.62064e-05	4.09862e-05	1.32799e-05	1.46775e-16	1.39611e-05	5.28609e-13	7.74159e-06	6.20135e-07	3.12385e-06	3.03162e-05	7.62625e-05	1.50995e-05	3.16211e-05	2.59114e-05	3.21939e-05
ENSMUSG00000001348.15	ENSMUST00000115315.2	Acp5	chr9:22126730-22130598	22130598	22126730	1349	25	20	4	1	2.13537e-05	0.348831	2.8946e-10	0.216616	7.8216e-05	0.989906	0.0115226	1.04205	2.05744	4.82908	8.80415	8.00863	1.33241e-05	8.75448e-05	0.239924	0.28568	0.0768839	0.369673	2.41488	1.57863	4.54973	5.80402	8.93211	15.9488	0.00307636	6.67137e-06	0.0210981	0.352988	0.536244	0.358097	1.02187	2.53763	2.52578	7.03921	9.69168	17.8196
ENSMUSG00000001348.15	ENSMUST00000213815.1	Acp5	chr9:22126737-22131653	22131653	22126737	1419	3	0	0	0	0.149734	1.93916e-11	0.0566244	4.72352e-12	0.0921741	1.47538e-12	0.0704156	4.32366e-12	0.109126	0.0672081	1.34873e-18	3.65649e-18	0.0946255	0.232872	0.0984396	1.93901e-10	0.0491434	0.140734	2.88008e-37	0.134774	0.062724	0.0764794	0.0785277	0.177473	1.41097e-29	0.0984376	2.53784e-36	2.93192e-10	3.04563e-10	0.347536	0.14956	1.54287e-18	0.065711	0.21801	6.65568e-16	0.0585193
ENSMUSG00000001348.15	ENSMUST00000217643.1	Acp5	chr9:22126737-22131831	22131831	22126737	1447	6	2	0	0	7.256e-09	1.19922e-05	0.181153	4.36623e-05	0.307045	2.39539e-05	0.739325	5.5824e-06	0.250377	0.372011	0.784613	0.294541	2.10524e-10	0.0896107	8.03205e-06	1.06569e-06	1.30862e-05	1.66796e-05	0.234485	1.11187e-05	1.46638e-06	0.276174	0.601114	1.93763	0.165864	1.17275e-09	0.500302	0.532184	2.36786e-05	2.17315e-05	0.292603	3.34624e-06	0.369179	0.838451	0.781961	2.13866
ENSMUSG00000001348.15	ENSMUST00000216684.1	Acp5	chr9:22132619-22135691	22135691	22132619	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Total_FPKM							36	36	36	36	1.784300276236	1.5783852415593917	1.63193226498946	2.7730697157579236	1.91742732008296	2.347913119121475	2.587623200000003	3.0159214211043235	6.3049315018000005	8.757969841700001	19.4348984337	19.3748454331	1.289670970110524	1.7645402473921	1.9271408553500002	1.707688582083901	1.3912004220698002	1.362800959167	2.65131316	3.05984713464	8.087922949880001	13.023279606400001	19.190272686199997	33.3389162799	1.93445036	2.41391823364275	2.2937901000005283	1.878717741883192	1.7928882990395631	1.8001878553500001	2.6882233162	5.21048960874	6.2463450995	17.7161926211	24.2983669114	38.134211493900004
Main Isoform FPKM											1.63454	1.22954	1.39414	2.55641	1.51813	1.35798	1.76636	1.97384	3.88794	4.82908	9.84607	11.0716	1.19502	1.44197	1.58875	1.42199	1.26516	0.852377	2.41488	1.57863	4.54973	6.86657	9.57848	15.9488	1.76551	2.31546	1.77239	0.993538	1.25662	1.09453	1.22416	2.67278	3.28566	9.62049	13.8247	18.1174
2nd Main Isoform FPKM											0.149734	0.348831	0.181153	0.216616	0.307045	0.989906	0.739325	1.04205	2.05744	3.48964	8.80415	8.00863	0.0946255	0.232872	0.239924	0.28568	0.0768839	0.369673	0.234485	1.34643	3.47545	5.80402	8.93211	15.275	0.165864	0.0984376	0.500302	0.532184	0.536244	0.358097	1.02187	2.53763	2.52578	7.03921	9.69168	17.8196
Main Isoform/Total											0.9160677839764051	0.7789859963371526	0.8542879075982998	0.9218700797434849	0.7917536086501136	0.5783774488674943	0.6826187058455798	0.6544732850755939	0.6166506327451818	0.5513926272053287	0.5066180321748928	0.5714419781169078	0.9266084355590228	0.8171930349172584	0.8244078244667057	0.832698663514362	0.9094016792474231	0.6254596419722275	0.9108241291270173	0.5159179300588591	0.5625337961543642	0.5272535188928584	0.4991320423960429	0.47838387625141604	0.9126675134739565	0.9592122747694852	0.7726905787934091	0.5288383549324955	0.7008914056013205	0.608008767944497	0.4553788342742445	0.5129613914816599	0.5260132041476553	0.5430337209441937	0.568955932322921	0.47509570252680017
2nd Main Isoform / Main											0.09160620113304048	0.28370854140572893	0.12993888705581938	0.08473445182893198	0.20225211279666433	0.7289547710570111	0.41855850449511994	0.5279303286993879	0.5291851211695654	0.7226303975084281	0.8941790988688889	0.72334892879078	0.07918319358671821	0.16149573153394314	0.1510143194335169	0.20090155345677535	0.060770100224477534	0.4336965920009573	0.0971000629430862	0.8529104349974345	0.7638804940073366	0.845257530324456	0.9325185206838662	0.9577523073836276	0.09394679157863735	0.0425131939225899	0.28227534571962154	0.5356453401882968	0.42673521032611295	0.3271696527276548	0.8347519932035029	0.9494346710166943	0.768728352903222	0.7316893422268512	0.701040890579904	0.9835627628688444

ENSMUSG00000025911.14	ENSMUST00000144177.7	Adhfe1	chr1:9547947-9577970	9547947	9577970	3239	0	0	0	0	0.0433986	0.00898173	0.0176502	9.40206e-09	0.0328251	1.57782e-06	0.000216324	0.0183876	0.116979	0.0553972	0.0828384	0.0420197	0.0381814	4.93854e-08	0.0533685	0.0323197	3.82581e-16	1.27155e-07	2.20007e-14	0.019895	0.0911198	0.0269901	0.0701346	0.0267905	0.0127959	0.0224187	0.00421362	0.0195159	6.74862e-06	0.0657258	0.0520231	0.0202796	0.0537082	0.0518875	0.0236093	0.0499031
ENSMUSG00000025911.14	ENSMUST00000027044.14	Adhfe1	chr1:9548054-9576901	9548054	9576901	2022	3	3	3	1	0.19277	0.165344	0.130275	0.20768	0.184062	0.187238	0.23387	0.235347	0.398131	0.65964	0.571116	0.841672	1.8232e-05	0.143843	0.204558	0.133176	0.228372	0.290064	0.455261	0.000198	0.506971	0.673497	0.303565	0.70092	0.213915	0.189904	0.15369	0.188616	0.231959	0.146943	0.306307	0.30537	0.299593	0.53641	0.703525	0.953126
ENSMUSG00000025911.14	ENSMUST00000130927.7	Adhfe1	chr1:9548091-9553687	9548091	9553687	459	0	0	0	0	0.103321	4.53965e-37	0	0	0	8.18956e-20	0	4.1158e-34	6.16658e-157	2.90855e-114	2.60744e-56	6.27641e-51	4.37538e-30	0	0	2.13016e-37	0	0	0	0	1.71697e-174	1.77814e-35	1.50241e-13	5.16243e-68	1.21289e-69	0	2.83579e-21	0	9.76147e-62	7.99507e-302	0	6.67954e-30	4.95286e-23	7.06541e-23	2.67694e-45	5.41152e-34
ENSMUSG00000025911.14	ENSMUST00000186467.1	Adhfe1	chr1:9548106-9555568	9548106	9555568	466	1	0	0	0	2.25199e-17	3.0805e-11	0.0682793	5.64778e-05	0	8.00463e-20	2.80308e-192	3.39083e-31	1.59807e-82	8.25826e-34	2.5473e-05	0.208227	1.78284e-08	2.08886e-33	6.03738e-21	0.0378663	3.81329e-14	2.19911e-39	1.89251e-107	0	1.44908e-73	6.06557e-24	6.86866e-13	1.6492e-23	0	3.55624e-50	1.16309e-11	4.44768e-57	0.0500597	0.138355	2.13723e-34	0.0998741	0.00399136	1.42715e-11	3.20841e-40	9.38201e-07
ENSMUSG00000025911.14	ENSMUST00000190654.1	Adhfe1	chr1:9548118-9580673	9548118	9580673	2021	3	1	0	0	0.0378343	0.111025	0.0412373	0.109138	1.36899e-06	1.99415e-11	0.140827	1.55606e-18	0.000393547	0.0254357	0.337862	0.183062	0.172837	0.151017	0.0267019	0.0517048	5.2424e-06	0.0277326	3.33308e-06	0.508805	4.96198e-05	0.139406	0.43861	0.405069	6.49346e-06	0.0372067	0.153919	2.91358e-05	0.0554602	0.000589143	0.015685	0.141139	0.0376565	0.237247	0.12977	0.23824
Total_FPKM							3	3	3	3	0.3773239	0.28535073003080497	0.2574418	0.31687448720206	0.21688846899	0.18723957783994147	0.374913324	0.2537346	0.515503547	0.7404729	0.9918418729999999	1.2749807	0.21103664982839998	0.2948600493854	0.2846284	0.2550668	0.2283772424000385	0.31779672715499996	0.455264333080022	0.528898	0.5981404197999999	0.8398931000000001	0.8123096000008371	1.1327795	0.22671739346	0.24952939999999998	0.31182262001163086	0.2081610358	0.33748564862	0.351612943	0.3740151	0.5666627	0.39494905999999996	0.8255445000142715	0.8569042999999998	1.241270038201
Main Isoform FPKM											0.19277	0.165344	0.130275	0.20768	0.184062	0.187238	0.23387	0.235347	0.398131	0.65964	0.571116	0.841672	0.172837	0.151017	0.204558	0.133176	0.228372	0.290064	0.455261	0.508805	0.506971	0.673497	0.43861	0.70092	0.213915	0.189904	0.153919	0.188616	0.231959	0.146943	0.306307	0.30537	0.299593	0.53641	0.703525	0.953126
2nd Main Isoform FPKM											0.103321	0.111025	0.0682793	0.109138	0.0328251	1.57782e-06	0.140827	0.0183876	0.116979	0.0553972	0.337862	0.208227	0.0381814	0.143843	0.0533685	0.0517048	5.2424e-06	0.0277326	3.33308e-06	0.019895	0.0911198	0.139406	0.303565	0.405069	0.0127959	0.0372067	0.15369	0.0195159	0.0554602	0.138355	0.0520231	0.141139	0.0537082	0.237247	0.12977	0.23824
Main Isoform/Total											0.5108873304871491	0.5794413071315792	0.5060367042181961	0.6554014551116877	0.8486481593841049	0.9999915731494394	0.6237975153958518	0.9275321536755335	0.7723147635296485	0.8908361129759104	0.5758135601520425	0.6601448947423283	0.8189904461643926	0.512165009518165	0.7186844320524586	0.5221220480282028	0.9999770449980767	0.9127343840093299	0.9999926788026652	0.9620096880683988	0.8475785672025238	0.8018841921668364	0.5399542243493712	0.618761197567576	0.9435314897343386	0.7610485978806505	0.49361075855965447	0.906106175322942	0.6873151523583148	0.4179112371298573	0.81896960844629	0.5388920075381705	0.7585611167171787	0.6497650944203819	0.8210076667837938	0.7678635354651648
2nd Main Isoform / Main											0.5359807023914509	0.6714788562028257	0.524116676261754	0.5255104006163328	0.1783371907292108	8.426815069590575e-06	0.6021593192799419	0.0781297403408584	0.29382037570548386	0.08398095931113941	0.5915820954061872	0.24739684817838778	0.22090987462175343	0.9524954144235417	0.2608966650045464	0.38824412807112396	2.2955528698789693e-05	0.09560855535330134	7.321250886853915e-06	0.039101423924686275	0.1797337520292088	0.2069883013584322	0.6921068831080002	0.5779104605375792	0.059817684594348226	0.1959237298845733	0.9985122044711828	0.1034689527929762	0.23909484003638576	0.9415555691662755	0.16983973595118623	0.46219013000622194	0.17927054370429216	0.4422866836934434	0.1844568423296969	0.24995645906207573

ENSMUSG00000020178.6	ENSMUST00000105420.2	Adora2a	chr10:75316876-75334784	75316876	75334784	2596	10	10	10	6	0.0718614	0.0783238	0.0794083	0.309923	0.0360788	0.219417	0.0196671	0.113156	0.240372	0.805779	4.12695	7.54874	0.371548	0.114044	0.256174	0.110535	0.0860271	0.148175	0.560008	0.272202	0.930208	1.48803	3.02233	6.39775	0.120935	0.144135	0.166699	0.0972596	0.078058	0.0951793	0.294224	0.371809	0.603346	1.84709	3.90539	8.81121
ENSMUSG00000020178.6	ENSMUST00000219044.1	Adora2a	chr10:75317101-75326280	75317101	75326280	538	8	3	0	0	0	0	0	0.0130223	0	0.0726962	0	0	0.547486	0.400521	0.37297	2.22564	0.332364	0.149595	8.13199e-06	0.18035	1.6857e-06	9.50146e-07	9.74841e-07	0.145252	0.286681	4.73621e-06	1.17029	1.2255	0.0100625	0	0.134442	0	5.06847e-08	0	3.09679e-06	0.0462986	0.249908	1.17792	0.880109	1.88623
ENSMUSG00000020178.6	ENSMUST00000219322.1	Adora2a	chr10:75323119-75326098	75323119	75326098	601	0	0	0	0	0	0	0	4.01946e-43	0	3.78015e-13	0	0	2.47109e-08	1.93655e-09	3.89135e-11	5.24857e-11	0	6.49445e-13	6.43317e-47	1.26136e-09	0	9.54905e-11	9.58789e-10	5.06125e-15	0.030375	8.70908e-19	1.02156e-11	0.0204475	0	0	3.13447e-07	0	0	0	6.53404e-17	3.64522e-22	1.77232e-11	1.96614e-08	0.0359671	0.0706249
ENSMUSG00000020178.6	ENSMUST00000217703.1	Adora2a	chr10:75324857-75326039	75324857	75326039	434	1	0	0	0	0	0	0	0	0	5.22407e-09	0	0	8.52893e-11	0.173524	6.89823e-08	0.151546	0	7.23312e-10	0	0	0	0	0	1.76804e-12	2.46629e-18	9.95669e-08	1.23252e-08	3.39568e-13	0	0	1.22e-08	0	0.0799483	0	0	0	2.60849e-08	2.21733e-10	0.0728929	1.46962e-13
