# Program:featureCounts v1.5.1; Command:"featureCounts" "-T" "24" "-s" "2" "-S" "fr" "-p" "-B" "-C" "-P" "-d" "40" "-D" "4000" "-t" "gene" "-g" "gene_id" "-a" "/opt/ngs_indexes/models/mm/mm10/gencode.vM14.annotation.gtf" "-o" "merged_counts/cytoplasmic.Naive.b1/all/all_counts.txt" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.000.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.010.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.020.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.030.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.040.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.060.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.090.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.120.b1.bam" 
Geneid	Chr	Start	End	Strand	Length	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.000.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.010.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.020.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.030.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.040.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.060.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.090.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.120.b1.bam
ENSMUSG00000102735.1	chr1	4610471	4611406	+	936	0	0	0	0	0	0	0	0
ENSMUSG00000098104.1	chr1	4687934	4689403	-	1470	0	2	1	0	0	1	1	0
ENSMUSG00000102175.1	chr1	4692219	4693424	-	1206	1	2	2	0	0	0	0	1
ENSMUSG00000088000.1	chr1	4723277	4723379	-	103	0	0	0	0	0	0	0	0
ENSMUSG00000103265.1	chr1	4735046	4735676	-	631	0	0	0	1	0	0	0	0
ENSMUSG00000103922.1	chr1	4771131	4772199	+	1069	1	0	0	0	2	0	5	2
ENSMUSG00000033845.13	chr1	4773206	4785739	-	12534	335	459	343	243	396	620	294	235
ENSMUSG00000102275.1	chr1	4778063	4779212	-	1150	0	0	0	0	0	0	0	0
ENSMUSG00000025903.14	chr1	4807788	4848410	+	40623	0	0	1	0	1	2	1	0
ENSMUSG00000104217.1	chr1	4807892	4886770	+	78879	4	17	4	7	3	6	6	4
ENSMUSG00000033813.15	chr1	4857814	4897909	+	40096	868	1078	932	786	1265	2020	1085	1099
ENSMUSG00000062588.4	chr1	4880049	4880651	-	603	0	0	0	0	0	0	0	0
ENSMUSG00000103280.1	chr1	4905751	4906861	-	1111	0	0	0	0	0	0	0	0
ENSMUSG00000002459.17	chr1	4909576	5070285	-	160710	0	0	0	0	0	1	0	2
ENSMUSG00000091305.1	chr1	4927028	4927299	-	272	0	0	0	0	0	0	0	0
ENSMUSG00000102653.1	chr1	4938576	4940710	-	2135	0	0	0	0	0	0	0	0
ENSMUSG00000085623.1	chr1	4970857	4976820	+	5964	0	0	0	0	0	0	0	0
ENSMUSG00000091665.1	chr1	5063060	5064647	+	1588	0	0	0	0	0	0	0	0
ENSMUSG00000033793.12	chr1	5070018	5162529	+	92512	933	1565	1152	1340	1647	3903	1219	1547
ENSMUSG00000104352.1	chr1	5276106	5277337	-	1232	0	0	0	0	0	0	0	0
ENSMUSG00000104046.1	chr1	5307739	5310017	+	2279	0	0	0	0	0	0	0	0
ENSMUSG00000102907.1	chr1	5403547	5405578	+	2032	0	0	0	0	0	0	0	0
ENSMUSG00000025905.13	chr1	5588466	5606131	+	17666	0	0	0	0	0	0	0	0
ENSMUSG00000103936.1	chr1	5617837	5618230	-	394	0	0	0	0	0	0	0	0
ENSMUSG00000093015.1	chr1	5644645	5644745	-	101	0	0	0	0	0	0	0	0
ENSMUSG00000103519.1	chr1	5842874	5844672	-	1799	0	0	0	0	0	0	0	0
ENSMUSG00000033774.4	chr1	5913707	5917398	-	3692	0	0	0	0	0	0	0	0
ENSMUSG00000103090.1	chr1	6048963	6050045	-	1083	0	0	0	0	0	0	0	0
ENSMUSG00000025907.14	chr1	6206197	6276648	+	70452	1766	2654	1912	1759	2903	5580	3116	2648
ENSMUSG00000090031.2	chr1	6209866	6215293	-	5428	28	92	22	35	55	122	24	70
ENSMUSG00000087247.3	chr1	6359218	6394731	+	35514	0	0	0	0	0	1	0	0
ENSMUSG00000103355.1	chr1	6380394	6381032	+	639	0	0	0	0	0	0	0	0
ENSMUSG00000102706.1	chr1	6382634	6383106	-	473	0	0	0	0	0	0	0	0
ENSMUSG00000103845.1	chr1	6429655	6441296	-	11642	1	4	1	4	14	58	26	53
ENSMUSG00000033740.17	chr1	6487231	6860940	+	373710	790	3409	1250	1461	1332	4761	880	4006
ENSMUSG00000103329.2	chr1	6861237	6864151	-	2915	0	0	0	0	0	0	0	0
ENSMUSG00000104385.1	chr1	6910560	6911222	+	663	0	0	0	0	0	0	0	0
ENSMUSG00000102135.1	chr1	6916559	6923588	+	7030	0	0	0	0	0	1	0	2
ENSMUSG00000103282.1	chr1	6929759	6929788	+	30	0	0	0	0	0	0	0	0
ENSMUSG00000102534.1	chr1	6998217	6998541	+	325	0	0	0	0	0	0	0	0
ENSMUSG00000102213.1	chr1	7013762	7013920	+	159	0	0	0	0	0	0	0	0
ENSMUSG00000103629.1	chr1	7035915	7037217	+	1303	0	0	0	0	0	0	0	0
ENSMUSG00000051285.17	chr1	7088920	7173628	+	84709	2449	3665	2500	2092	3004	4855	2161	2345
ENSMUSG00000098201.1	chr1	7136199	7136586	-	388	0	0	0	0	0	0	0	0
ENSMUSG00000103509.1	chr1	7148110	7152137	+	4028	0	0	0	0	0	0	0	0
ENSMUSG00000048538.7	chr1	7177739	7179037	+	1299	0	0	1	0	0	1	0	0
ENSMUSG00000103709.1	chr1	7189742	7189919	-	178	0	0	0	0	0	0	0	0
ENSMUSG00000077244.1	chr1	7265803	7265932	+	130	0	0	0	0	0	0	0	0
ENSMUSG00000102768.1	chr1	7315451	7316462	+	1012	0	0	0	0	0	0	0	0
ENSMUSG00000097797.6	chr1	7349406	7397869	-	48464	7	19	3	3	6	2	0	3
ENSMUSG00000103498.1	chr1	7410679	7411993	+	1315	0	0	0	0	0	0	0	0
ENSMUSG00000103067.1	chr1	7497968	7518149	+	20182	0	0	0	0	0	0	0	0
ENSMUSG00000102320.1	chr1	7591646	7591931	+	286	0	0	0	0	0	0	0	0
ENSMUSG00000104226.1	chr1	7597379	7599473	+	2095	0	0	0	0	0	0	0	0
ENSMUSG00000103903.1	chr1	7664081	7664961	+	881	0	0	0	0	0	0	0	0
ENSMUSG00000103557.1	chr1	7728861	7730565	-	1705	0	0	0	0	0	0	0	0
ENSMUSG00000025909.16	chr1	8361475	9299878	-	938404	1	2	0	0	0	0	0	1
ENSMUSG00000102647.1	chr1	8450960	8453491	-	2532	0	0	0	0	0	0	0	0
ENSMUSG00000086235.1	chr1	8468426	8468825	-	400	0	0	0	0	0	0	0	0
ENSMUSG00000102253.1	chr1	8527780	8531313	-	3534	0	0	0	0	0	0	0	0
ENSMUSG00000093970.1	chr1	8588615	8588724	-	110	0	0	0	0	0	0	0	0
ENSMUSG00000103884.1	chr1	8643696	8644859	-	1164	0	0	0	0	0	0	0	0
ENSMUSG00000084353.1	chr1	8791923	8792162	-	240	0	0	0	0	0	0	0	0
ENSMUSG00000103933.1	chr1	8815842	8816039	+	198	0	0	0	0	0	1	0	1
ENSMUSG00000076135.1	chr1	8816138	8816247	+	110	0	0	0	0	0	0	0	0
ENSMUSG00000086195.1	chr1	8855928	8856267	-	340	0	0	0	0	0	0	0	0
ENSMUSG00000104504.1	chr1	8856763	8857102	+	340	0	0	0	0	0	0	0	0
ENSMUSG00000066693.2	chr1	8962996	8963621	-	626	0	0	0	0	0	0	0	0
ENSMUSG00000102316.1	chr1	9191067	9192116	-	1050	0	0	0	0	0	0	0	0
ENSMUSG00000103819.1	chr1	9258617	9259134	-	518	0	0	0	0	0	0	0	0
ENSMUSG00000102871.1	chr1	9286922	9290180	+	3259	0	0	0	0	0	0	0	0
ENSMUSG00000101571.2	chr1	9396773	9398687	-	1915	0	0	0	0	0	0	0	0
ENSMUSG00000104428.1	chr1	9439741	9440376	-	636	0	0	0	0	0	0	0	0
ENSMUSG00000102272.1	chr1	9450579	9451748	+	1170	0	0	0	0	0	0	0	0
ENSMUSG00000065625.1	chr1	9458670	9458772	+	103	0	0	0	0	0	0	0	0
ENSMUSG00000103411.1	chr1	9499338	9501522	-	2185	0	0	0	0	0	0	0	0
ENSMUSG00000061024.8	chr1	9545408	9547455	+	2048	415	491	472	389	633	1767	1190	969
ENSMUSG00000025911.14	chr1	9547948	9580673	+	32726	17	25	29	80	57	202	48	129
ENSMUSG00000079671.8	chr1	9560832	9631175	-	70344	16	41	19	15	16	26	5	13
ENSMUSG00000081441.3	chr1	9574548	9575649	+	1102	0	0	0	0	0	0	0	0
ENSMUSG00000067879.3	chr1	9601199	9627143	+	25945	0	0	0	0	1	0	0	1
ENSMUSG00000099827.1	chr1	9639255	9640582	-	1328	0	0	0	0	0	0	0	0
ENSMUSG00000025912.16	chr1	9667415	9700209	-	32795	25	48	32	38	55	84	41	40
ENSMUSG00000045210.8	chr1	9718622	9748382	-	29761	4912	6307	4993	3838	6622	8621	5009	7630
ENSMUSG00000097893.8	chr1	9747648	9791924	+	44277	12	19	7	9	9	22	8	9
ENSMUSG00000025915.14	chr1	9798107	9900845	+	102739	1407	2211	1500	1352	1917	3495	1535	4484
ENSMUSG00000046334.4	chr1	9802197	9802553	-	357	0	0	0	0	0	0	0	0
ENSMUSG00000088916.1	chr1	9834498	9834602	-	105	0	0	0	0	0	0	0	0
ENSMUSG00000046101.16	chr1	9908638	9942085	+	33448	5	15	9	26	6	9	1	30
ENSMUSG00000098234.7	chr1	9941959	9944118	-	2160	133	155	119	96	157	289	136	96
ENSMUSG00000093178.1	chr1	9942463	9942549	-	87	0	0	0	0	0	0	0	0
ENSMUSG00000099032.2	chr1	9960163	9967932	-	7770	1	5	5	0	7	10	1	6
ENSMUSG00000104025.1	chr1	9967314	9968687	+	1374	0	0	0	0	0	0	0	0
ENSMUSG00000025916.10	chr1	9968624	10009136	-	40513	0	0	1	1	0	0	0	1
ENSMUSG00000087199.1	chr1	9982387	9992366	+	9980	0	1	0	0	0	0	0	0
ENSMUSG00000095780.1	chr1	10009814	10009917	-	104	0	0	0	0	0	0	0	0
ENSMUSG00000025917.9	chr1	10024601	10038168	-	13568	779	999	801	624	1076	1813	978	867
ENSMUSG00000056763.16	chr1	10037987	10136768	+	98782	273	599	316	268	343	588	223	459
ENSMUSG00000102356.1	chr1	10057025	10057944	-	920	0	0	0	0	0	0	0	0
ENSMUSG00000067851.11	chr1	10137571	10232670	-	95100	3216	4498	3463	3171	4634	7706	3208	4060
ENSMUSG00000088153.1	chr1	10166539	10166778	+	240	0	0	0	0	0	0	0	0
ENSMUSG00000102556.1	chr1	10197081	10198802	-	1722	0	0	0	0	0	0	0	0
ENSMUSG00000042501.12	chr1	10324720	10719945	-	395226	0	0	0	3	0	0	0	0
ENSMUSG00000103810.1	chr1	10449245	10451989	-	2745	0	0	0	0	0	0	0	0
ENSMUSG00000083422.1	chr1	10554098	10555553	-	1456	0	0	0	0	0	0	0	0
ENSMUSG00000094979.1	chr1	10555554	10555660	-	107	0	0	0	0	0	0	0	0
ENSMUSG00000081417.1	chr1	10695123	10695614	+	492	0	0	0	0	0	0	0	0
ENSMUSG00000103448.1	chr1	10782456	10784377	-	1922	0	0	0	0	0	0	0	0
ENSMUSG00000100212.1	chr1	10805281	10806522	+	1242	0	0	0	0	0	0	0	0
ENSMUSG00000100648.1	chr1	10868688	10869446	+	759	0	0	0	0	0	0	0	0
ENSMUSG00000088585.1	chr1	10921670	10921760	+	91	0	0	0	0	0	0	0	0
ENSMUSG00000048960.13	chr1	10993465	11303681	+	310217	0	0	0	0	1	1	0	1
ENSMUSG00000077318.1	chr1	11134111	11134238	-	128	0	0	0	0	0	0	0	0
ENSMUSG00000101827.1	chr1	11223566	11224174	-	609	0	0	0	0	0	0	0	0
ENSMUSG00000103494.1	chr1	11363926	11366964	-	3039	0	0	0	0	0	0	0	0
ENSMUSG00000057715.13	chr1	11414105	11975901	+	561797	0	2	0	1	0	4	1	1
ENSMUSG00000103825.1	chr1	11416918	11419388	+	2471	0	0	0	0	0	0	0	0
ENSMUSG00000099845.1	chr1	11608139	11608400	-	262	0	0	0	0	0	0	0	0
ENSMUSG00000103561.1	chr1	11704207	11706350	+	2144	0	0	0	0	0	0	0	0
ENSMUSG00000101610.1	chr1	12120960	12121832	+	873	0	0	0	0	0	0	0	0
ENSMUSG00000093864.1	chr1	12374936	12375042	+	107	0	0	0	0	0	0	0	0
ENSMUSG00000098555.1	chr1	12425986	12426106	+	121	0	0	0	0	0	0	0	0
ENSMUSG00000097628.1	chr1	12565577	12566383	+	807	0	0	0	0	0	0	0	0
ENSMUSG00000098163.1	chr1	12655867	12656553	+	687	0	0	0	0	0	0	0	0
ENSMUSG00000097171.1	chr1	12667563	12673090	+	5528	0	0	0	0	0	0	0	0
ENSMUSG00000101314.1	chr1	12670324	12671176	-	853	0	0	0	0	0	0	0	0
ENSMUSG00000016918.15	chr1	12692277	12861192	+	168916	1	0	0	20	0	1	0	2
ENSMUSG00000025938.16	chr1	12866549	12992650	-	126102	14	15	5	10	11	32	11	22
ENSMUSG00000104518.1	chr1	13059401	13059951	-	551	0	0	0	0	0	0	0	0
ENSMUSG00000069620.6	chr1	13062025	13062345	+	321	0	0	0	0	0	0	0	0
ENSMUSG00000099498.1	chr1	13068838	13078662	+	9825	0	0	0	0	0	0	0	0
ENSMUSG00000042414.7	chr1	13113457	13127163	-	13707	0	1	0	0	0	0	0	3
ENSMUSG00000005886.14	chr1	13139105	13374083	-	234979	3160	5201	3342	3005	4500	7242	3146	3147
ENSMUSG00000103506.1	chr1	13177462	13179714	-	2253	0	0	0	0	0	0	0	0
ENSMUSG00000103495.1	chr1	13234809	13236434	-	1626	0	0	0	0	0	0	0	0
ENSMUSG00000099183.1	chr1	13262198	13262279	+	82	0	0	0	0	0	0	0	0
ENSMUSG00000102639.1	chr1	13289812	13290506	-	695	0	0	0	0	0	0	0	0
ENSMUSG00000104170.1	chr1	13297036	13298907	-	1872	0	0	0	0	0	0	0	0
ENSMUSG00000087782.1	chr1	13334498	13334609	-	112	0	0	0	0	0	0	0	0
ENSMUSG00000103085.1	chr1	13343563	13348204	-	4642	0	0	0	0	0	0	0	0
ENSMUSG00000102664.1	chr1	13354483	13356730	-	2248	0	0	0	0	0	0	0	0
ENSMUSG00000101476.1	chr1	13376070	13388413	+	12344	1	1	3	0	0	3	0	1
ENSMUSG00000101171.1	chr1	13407012	13407655	-	644	0	0	0	0	0	0	0	0
ENSMUSG00000025935.10	chr1	13564698	13589910	-	25213	4556	5748	4936	3927	6624	9421	4533	4400
ENSMUSG00000025937.6	chr1	13623330	13660546	-	37217	699	1048	707	572	834	1505	640	611
ENSMUSG00000102982.1	chr1	13641483	13642748	-	1266	0	0	0	0	0	0	0	0
ENSMUSG00000067813.3	chr1	13668771	13701723	+	32953	0	0	0	0	0	3	0	0
ENSMUSG00000077368.1	chr1	13774334	13774464	-	131	0	0	0	0	0	0	0	0
ENSMUSG00000097711.1	chr1	13785883	13786879	-	997	0	0	0	0	0	0	0	0
ENSMUSG00000102166.1	chr1	13846871	13849119	-	2249	0	0	0	0	0	0	0	0
ENSMUSG00000089358.1	chr1	13932378	13932685	+	308	0	0	0	0	0	0	0	0
ENSMUSG00000104209.1	chr1	14109215	14112819	-	3605	1	0	0	0	2	0	0	0
ENSMUSG00000025932.14	chr1	14168954	14310235	-	141282	2076	4420	2530	2207	2823	4738	1049	677
ENSMUSG00000095853.1	chr1	14182578	14182677	+	100	0	0	0	0	0	0	0	0
ENSMUSG00000102588.1	chr1	14255552	14255990	-	439	0	0	0	0	0	0	0	0
ENSMUSG00000054493.2	chr1	14752937	14776931	+	23995	0	0	0	0	0	0	0	0
ENSMUSG00000025930.6	chr1	14753346	14755992	-	2647	0	0	0	0	0	0	0	0
ENSMUSG00000103492.1	chr1	14788645	14792965	+	4321	0	0	0	0	0	0	0	0
ENSMUSG00000081201.1	chr1	14839869	14840156	-	288	0	0	0	0	0	0	0	0
ENSMUSG00000082193.1	chr1	14865072	14865965	+	894	3	2	4	5	4	8	5	4
ENSMUSG00000032769.4	chr1	14872648	14918862	-	46215	0	0	0	0	0	0	0	0
ENSMUSG00000088159.1	chr1	15019040	15019159	-	120	0	0	0	0	0	0	0	0
ENSMUSG00000073737.3	chr1	15268802	15269797	-	996	0	0	0	0	2	0	0	0
ENSMUSG00000092083.4	chr1	15287254	15723750	+	436497	0	0	0	1	0	0	0	0
ENSMUSG00000102937.1	chr1	15364302	15365834	+	1533	0	0	0	0	0	0	0	0
ENSMUSG00000104149.1	chr1	15556249	15558337	+	2089	0	0	0	0	0	0	0	0
ENSMUSG00000088829.1	chr1	15685935	15686046	-	112	0	0	0	0	0	0	0	0
ENSMUSG00000077377.1	chr1	15757832	15757963	+	132	0	0	0	0	0	0	0	0
ENSMUSG00000101652.1	chr1	15760122	15760668	-	547	0	0	0	0	0	0	0	0
ENSMUSG00000100814.1	chr1	15760761	15760860	+	100	0	0	0	0	0	0	0	0
ENSMUSG00000025925.14	chr1	15805646	15844052	+	38407	112	273	108	73	92	158	62	117
ENSMUSG00000104379.1	chr1	15853331	15856499	+	3169	2	4	2	0	1	1	0	1
ENSMUSG00000032719.4	chr1	15853862	15892722	-	38861	0	0	0	0	0	0	0	0
ENSMUSG00000088943.1	chr1	15879530	15879832	+	303	0	0	0	0	0	0	0	0
ENSMUSG00000100652.1	chr1	16053335	16053887	+	553	0	0	0	0	0	0	0	0
ENSMUSG00000067795.13	chr1	16065979	16093325	-	27347	0	0	0	1	0	0	0	0
ENSMUSG00000043716.13	chr1	16101295	16104662	-	3368	9027	11323	9426	7991	13216	20453	10640	8563
ENSMUSG00000025921.7	chr1	16105774	16133734	+	27961	127	214	139	94	161	229	93	120
ENSMUSG00000104165.1	chr1	16208197	16210517	-	2321	0	0	0	0	0	0	0	0
ENSMUSG00000100868.1	chr1	16228506	16244062	+	15557	0	0	0	0	0	0	0	0
ENSMUSG00000025920.19	chr1	16228674	16520112	-	291439	177	369	188	187	252	461	164	313
ENSMUSG00000089982.7	chr1	16253592	16267921	+	14330	0	0	0	0	0	0	0	0
ENSMUSG00000025939.17	chr1	16540790	16619489	-	78700	678	1114	717	603	845	1391	679	1209
ENSMUSG00000102457.1	chr1	16618560	16621539	+	2980	1	1	1	0	4	6	3	10
ENSMUSG00000079658.9	chr1	16641725	16657042	-	15318	586	692	624	531	872	1450	822	898
ENSMUSG00000097744.1	chr1	16657552	16662278	+	4727	0	0	0	0	0	0	0	0
ENSMUSG00000100959.1	chr1	16662980	16663662	-	683	1	0	0	0	0	0	0	0
ENSMUSG00000025940.6	chr1	16665207	16678275	+	13069	324	435	324	256	439	577	313	455
ENSMUSG00000025779.10	chr1	16688051	16709611	+	21561	158	343	177	223	254	722	261	755
ENSMUSG00000100093.1	chr1	16758205	16758623	-	419	0	0	0	0	0	0	0	0
ENSMUSG00000091020.3	chr1	16768279	16770138	-	1860	0	0	2	0	1	0	0	0
ENSMUSG00000101640.1	chr1	16898185	17091631	+	193447	0	0	0	0	0	0	0	0
ENSMUSG00000104133.1	chr1	16930970	16931796	+	827	0	0	0	0	0	0	0	0
ENSMUSG00000042686.5	chr1	16964560	17097889	-	133330	1	1	1	0	1	3	3	3
ENSMUSG00000100110.1	chr1	17124747	17128956	+	4210	0	0	0	0	0	0	0	0
ENSMUSG00000025777.8	chr1	17145362	17164271	+	18910	2	1	3	1	2	4	2	0
ENSMUSG00000099899.1	chr1	17168403	17173103	+	4701	0	0	0	0	0	0	0	0
ENSMUSG00000100272.1	chr1	17250114	17250492	-	379	0	0	0	0	0	0	0	0
ENSMUSG00000100398.1	chr1	17394958	17395429	+	472	0	0	0	0	0	0	0	0
ENSMUSG00000101589.1	chr1	17397412	17400281	-	2870	2	0	4	2	3	8	0	0
ENSMUSG00000102048.1	chr1	17429043	17429528	-	486	0	0	0	0	0	0	0	0
ENSMUSG00000089534.1	chr1	17520001	17520111	+	111	0	0	0	0	0	0	0	0
ENSMUSG00000067780.3	chr1	17601901	17630939	+	29039	0	1	0	14	0	1	0	1
ENSMUSG00000100053.1	chr1	17615084	17641081	-	25998	0	0	0	0	0	0	0	0
ENSMUSG00000085125.7	chr1	17676027	17727646	-	51620	0	0	0	0	0	0	0	0
ENSMUSG00000025776.13	chr1	17727045	17766344	+	39300	0	0	0	5	0	0	0	0
ENSMUSG00000099895.1	chr1	17741915	17805417	-	63503	0	0	0	0	0	0	0	0
ENSMUSG00000100554.1	chr1	17947041	17948439	+	1399	0	0	0	0	0	0	0	0
ENSMUSG00000099473.1	chr1	17993010	17999622	-	6613	0	0	0	0	0	0	0	0
ENSMUSG00000099591.1	chr1	17993813	17997483	+	3671	0	0	0	0	0	0	0	0
ENSMUSG00000109887.1	chr1	17994462	18059056	-	64595	0	0	0	0	0	0	0	0
ENSMUSG00000102001.1	chr1	18005961	18016186	-	10226	0	0	0	0	0	0	0	0
ENSMUSG00000101717.2	chr1	18048100	18058269	-	10170	0	0	0	0	0	0	0	0
ENSMUSG00000025774.14	chr1	18115191	18145902	-	30712	0	0	0	0	0	0	0	0
ENSMUSG00000070977.4	chr1	18210053	18223564	-	13512	0	0	0	0	0	0	0	0
ENSMUSG00000073735.1	chr1	18236473	18237443	-	971	0	0	0	0	0	0	0	0
ENSMUSG00000067773.6	chr1	18250980	18265138	-	14159	0	0	0	0	0	0	0	0
ENSMUSG00000101685.1	chr1	18262395	18263379	-	985	0	0	0	0	0	0	0	0
ENSMUSG00000101738.2	chr1	18307984	18313686	+	5703	0	0	0	0	0	0	0	0
ENSMUSG00000101306.1	chr1	18708428	18709336	+	909	0	0	0	0	0	0	0	0
ENSMUSG00000088800.1	chr1	18969762	18969833	-	72	0	0	0	0	0	0	0	0
ENSMUSG00000101644.1	chr1	19037266	19037377	+	112	0	0	0	0	0	0	0	0
ENSMUSG00000099433.1	chr1	19062857	19063135	+	279	0	0	0	0	0	0	0	0
ENSMUSG00000089787.2	chr1	19063300	19104840	-	41541	0	0	0	0	0	0	0	0
ENSMUSG00000042596.7	chr1	19103022	19166346	+	63325	0	0	0	0	0	0	0	0
ENSMUSG00000100720.1	chr1	19153422	19153966	-	545	0	0	0	0	1	0	1	0
ENSMUSG00000025927.13	chr1	19208914	19238576	+	29663	0	0	0	0	0	0	0	0
ENSMUSG00000100538.1	chr1	19242725	19243769	+	1045	0	0	0	0	0	0	0	0
ENSMUSG00000101117.1	chr1	19320226	19320697	-	472	0	0	0	0	0	0	0	0
ENSMUSG00000100204.1	chr1	19330939	19333184	+	2246	1	0	0	0	0	0	0	0
