Geneid	Name	Chr	Strand	Main Isoforms	Disagree with Cufflinks Strongly	Annotations – TSS	Annotations – TES	Observed – TSS	Observed – TES
ENSMUSG00000035352.3	Ccl12	11	+	ENSMUST00000000194.3		82101844	82103400	82101852	82103394
ENSMUSG00000035385.5	Ccl2	11	+	ENSMUST00000000193.5		82035570	82037453	82035588	82037451
ENSMUSG00000018930.3	Ccl4	11	+	ENSMUST00000019074.3		83662583	83664683	83662599	83664638
ENSMUSG00000035042.2	Ccl5	11	-	ENSMUST00000035938.2		83530518	83525777	83530508	83525780
ENSMUSG00000035373.2	Ccl7	11	+	ENSMUST00000021011.2		82045711	82047525	82045724	82047418
ENSMUSG00000019122.8	Ccl9	11	-	ENSMUST00000019266.5		83578636	83572918	83578496	83572921
ENSMUSG00000019122.8	Ccl9	11	-	Shorter Isoform				83578496	83574660
ENSMUSG00000025804.5	Ccr1	9	-	ENSMUST00000026911.5		123968692	123962123	123968953	?
ENSMUSG00000035448.9	Ccr3	9	+	ENSMUST00000039171.8		124021971	124031689	124021990	124031664
ENSMUSG00000043953.12	Ccrl2	9	-	ENSMUST00000199839.4		111057519	111054831	111057426	111054831
ENSMUSG00000043953.12	Ccrl2	9	-	ENSMUST00000111888.2		111057270	111054485	111057268	111054831
ENSMUSG00000043953.12	Ccrl2	9	-	ENSMUST00000195968.1		111057246	111056029	111057230	111054831
ENSMUSG00000043953.12	Ccrl2	9	-	Longer Isoform				111057502	111052786
ENSMUSG00000051439.6	Cd14	18	-	ENSMUST00000061829.6		36726736	36725073	36726587	36725089
ENSMUSG00000017652.16	Cd40	2	+	ENSMUST00000017799.11		165055626	165072948	165055691	165071627
ENSMUSG00000017652.16	Cd40	2	+	ENSMUST00000073707.8	TRUE	165055635	165071654	165055691	165071627
ENSMUSG00000017652.16	Cd40	2	+	ENSMUST00000081310.10		165055679	165070745	165055691	165071627
ENSMUSG00000017652.16	Cd40	2	+	ENSMUST00000184221.1	TRUE	165055703	165071000	165055691	165071627
ENSMUSG00000005087.17	Cd44	2	-	ENSMUST00000099673.8		102901510	102812546	102901453	102811144
ENSMUSG00000005087.17	Cd44	2	-	ENSMUST00000111194.7	TRUE	102901665	102811140	102901453	102811144
ENSMUSG00000030156.5	Cd69	6	-	ENSMUST00000032259.5		129275436	129267324	129275362	129267379
ENSMUSG00000024610.14	Cd74	18	+	ENSMUST00000050487.14		60803847	60812646	60803854	60812649
ENSMUSG00000024610.14	Cd74	18	+	ENSMUST00000097563.8		60803847	60812646	60803854	60812649
ENSMUSG00000015396.4	Cd83	13	+	ENSMUST00000015540.3		43784774	43803132	43785193	43803131
ENSMUSG00000015396.4	Cd83	13	+	ENSMUST00000221359.1		43785184	43803128	43785192	43803131
ENSMUSG00000045664.4	Cdc42ep2	19	-	ENSMUST00000055458.4		5924816	5917555	5924795	5917561
ENSMUSG00000041598.7	Cdc42ep4	11	-	ENSMUST00000053536.4		113751881	113726851	113751793	113726860
ENSMUSG00000041598.7	Cdc42ep4	11	-	ENSMUST00000106616.1		113751318	113726849	113751311	113726860
ENSMUSG00000023067.13	Cdkn1a	17	+	ENSMUST00000023829.6		29093771	29100722	29093784	29100718
ENSMUSG00000026031.15	Cflar	1	+	ENSMUST00000097722.8		58711550	58753976	58711509	58758856
ENSMUSG00000026031.15	Cflar	1	+	ENSMUST00000069333.7		58713316	58755165	58713297	58758856
ENSMUSG00000026031.15	Cflar	1	+	ENSMUST00000140940.7		58711507	58754341	58711509	58758856
ENSMUSG00000026031.15	Cflar	1	+	ENSMUST00000149874.7	TRUE	58711507	58713886	58711509	?
ENSMUSG00000026031.15	Cflar	1	+	ENSMUST00000114313.7	TRUE	58711559	58758884	58711509	58758856
ENSMUSG00000026031.15	Cflar	1	+	Unannotated – Same as ENSMUST00000097722.8 but with different starting exon				58726126	58758856
ENSMUSG00000024843.15	Chka	19	+	ENSMUST00000072055.12		3851796	3894369	3851840	3894369
ENSMUSG00000024843.15	Chka	19	+	ENSMUST00000025760.12		3852075	3894364	3851840	3894369
ENSMUSG00000024843.15	Chka	19	+	ENSMUST00000154467.7	TRUE	3851831	3867670	3851840	3867737
ENSMUSG00000032578.7	Cish	9	+	ENSMUST00000085102.5		107296025	107301987	107296711	107301959
ENSMUSG00000032578.7	Cish	9	+	ENSMUST00000168260.1		107296709	107302784	107296711	107301959
ENSMUSG00000032578.7	Cish	9	+	ENSMUST00000165664.1	TRUE	107296906	107301943	107296711	107301959
ENSMUSG00000040663.8	Clcf1	19	+	ENSMUST00000046506.6		4214237	4223490	4214231	4223493
ENSMUSG00000040663.8	Clcf1	19	+	ENSMUST00000132305.1	TRUE	4214263	4223490	4214231	4223493
ENSMUSG00000030144.4	Clec4d	6	+	ENSMUST00000032240.3		123262116	123275265	123262188	123275270
ENSMUSG00000030144.4	Clec4d	6	+	ENSMUST00000204826.2		123262110	123274923	123262188	123274925
ENSMUSG00000030144.4	Clec4d	6	+	Shorter Isoform				123262188	123274925
ENSMUSG00000030144.4	Clec4d	6	+	Longer Isoform				123262188	123278511
ENSMUSG00000030142.10	Clec4e	6	-	ENSMUST00000032239.10		123289870	123281788	123289859	123281814
ENSMUSG00000030142.10	Clec4e	6	-	ENSMUST00000175995.7	TRUE	123289870	123282144	123289859	123281814
ENSMUSG00000030142.10	Clec4e	6	-	ENSMUST00000176831.7	TRUE	123289870	123282667	123289859	123282720
ENSMUSG00000030142.10	Clec4e	6	-	Shorter Isoform				123289859	123282720
ENSMUSG00000029915.14	Clec5a	6	-	ENSMUST00000101491.10		40585803	40574893	40585795	40576951
ENSMUSG00000029915.14	Clec5a	6	-	ENSMUST00000129948.8		40585795	40577849	40585795	40576951
ENSMUSG00000029915.14	Clec5a	6	-	ENSMUST00000031975.6		40585821	40576716	40585795	40576951
ENSMUSG00000029915.14	Clec5a	6	-	Longer Isoform				40585798	40574302
ENSMUSG00000037242.8	Clic4	4	-	ENSMUST00000037099.8		135272814	135213968	135272753	135213976
ENSMUSG00000020841.5	Cpd	11	-	ENSMUST00000021201.5		76847018	76778423	76847021	76778486
ENSMUSG00000014599.10	Csf1	3	-	ENSMUST00000014743.9		107760469	107741047	107760229	107741056
ENSMUSG00000014599.10	Csf1	3	-	ENSMUST00000153114.1		107760221	107750379	107760229	?
ENSMUSG00000014599.10	Csf1	3	-	Unannotated – Additional exon between 1 and 2 (same as ENSMUST00000153114.1 exon 2)				107760229	107741056
ENSMUSG00000018916.5	Csf2	11	-	ENSMUST00000019060.5		54249667	54247270	54249631	54247386
ENSMUSG00000068129.5	Cst7	2	+	ENSMUST00000089200.2		150570414	150578944	150570442	150578937
ENSMUSG00000030560.17	Ctsc	7	+	ENSMUST00000131108.8		88278133	88291397	88278144	88291359
ENSMUSG00000030560.17	Ctsc	7	+	ENSMUST00000032779.11		88278084	88310888	88278144	88310862
ENSMUSG00000029380.11	Cxcl1	5	+	ENSMUST00000031327.8		90891240	90893115	90891254	90893095
ENSMUSG00000034855.13	Cxcl10	5	-	ENSMUST00000038816.12		92348882	92346637	92348868	92346644
ENSMUSG00000018920.11	Cxcl16	11	-	ENSMUST00000019064.8		70459984	70453982	70459895	70454000
ENSMUSG00000018920.11	Cxcl16	11	-	ENSMUST00000126391.1		70459408	70454237	70459895	70454253
ENSMUSG00000018920.11	Cxcl16	11	-	ENSMUST00000154475.1		70459832	70455189	70459895	70455191
ENSMUSG00000058427.10	Cxcl2	5	+	ENSMUST00000075433.7		90903872	90905938	90903886	90905937
ENSMUSG00000029417.9	Cxcl9	5	-	ENSMUST00000113093.4		92328079	92321346	92328072	92321390
ENSMUSG00000029417.9	Cxcl9	5	-	ENSMUST00000202404.1	TRUE	92328078	92326622	92328072	?
ENSMUSG00000029417.9	Cxcl9	5	-	Shorter Isoform				92328072	92323048
ENSMUSG00000015340.10	Cybb	X	-	ENSMUST00000015484.9		9469324	9435251	9469304	9435259
ENSMUSG00000015340.10	Cybb	X	-	Shorter Isoform				9469304	9435540
ENSMUSG00000035107.13	Dcbld2	16	+	ENSMUST00000046663.7		58408442	58469727	58408794	58469013
ENSMUSG00000035107.13	Dcbld2	16	+	ENSMUST00000142830.7		58455190	58465378	58455203	58469013
ENSMUSG00000053641.9	Dennd4a	9	+	ENSMUST00000038890.5		64811339	64919667	64811334	64919644
ENSMUSG00000024190.6	Dusp1	17	-	ENSMUST00000025025.6		26508519	26505589	26508563	26505602
ENSMUSG00000018648.15	Dusp14	11	-	ENSMUST00000108101.7		84067080	84048413	84067063	84048051
ENSMUSG00000018648.15	Dusp14	11	-	ENSMUST00000100705.10		84068357	84048040	84068358	84048051
ENSMUSG00000018648.15	Dusp14	11	-	ENSMUST00000138208.1		84069261	84048979	84069185	84048051
ENSMUSG00000018648.15	Dusp14	11	-	ENSMUST00000164891.7		84068579	84048044	84068581	84048051
ENSMUSG00000030203.17	Dusp16	6	-	ENSMUST00000100857.9		134792625	134715472	134792613	134715486
ENSMUSG00000030203.17	Dusp16	6	-	ENSMUST00000129433.3		134792475	134715467	134792613	134715486
ENSMUSG00000027368.6	Dusp2	2	+	ENSMUST00000028846.6		127336158	127338376	127336169	127338373
ENSMUSG00000031530.6	Dusp4	8	+	ENSMUST00000033930.4		34807296	34819894	34807326	34821959
ENSMUSG00000034765.6	Dusp5	19	+	ENSMUST00000038287.6		53529108	53542431	53529159	53542390
ENSMUSG00000037887.11	Dusp8	7	-	ENSMUST00000039926.9		142095272	142079489	142095080	142079503
ENSMUSG00000037887.11	Dusp8	7	-	ENSMUST00000143661.1	TRUE	142095843	142083593	?	?
ENSMUSG00000046179.17	E2f8	7	-	ENSMUST00000119223.1		48881596	48866428	48881695	48866498
ENSMUSG00000046179.17	E2f8	7	-	ENSMUST00000058745.14		48881041	48866428	48880995	48866498
ENSMUSG00000003206.6	Ebi3	17	+	ENSMUST00000003274.6		55952622	55957021	55952664	55957015
ENSMUSG00000021367.8	Edn1	13	+	ENSMUST00000021796.8		42301475	42307990	42301629	42307989
ENSMUSG00000022122.14	Ednrb	14	-	ENSMUST00000172237.1		103843696	103814625	103843684	103814729
ENSMUSG00000022122.14	Ednrb	14	-	ENSMUST00000022718.9		103844173	103814624	103844449	103814729
ENSMUSG00000038418.7	Egr1	18	+	ENSMUST00000064795.5		34859822	34864984	34861217	34864975
ENSMUSG00000038418.7	Egr1	18	+	ENSMUST00000165033.1		34861206	34864956	34861217	34864975
ENSMUSG00000037868.15	Egr2	10	+	ENSMUST00000048289.13		67537868	67542188	67537879	67542167
ENSMUSG00000037868.15	Egr2	10	+	ENSMUST00000130933.1	TRUE	67537869	67538380	67537879	?
ENSMUSG00000037868.15	Egr2	10	+	ENSMUST00000105438.8		67537869	67542188	67537879	67542167
ENSMUSG00000033730.3	Egr3	14	+	ENSMUST00000035908.1		70077444	70080157	70077035	70082617
ENSMUSG00000033730.3	Egr3	14	+	Unannotated – Additional exon between 1 and 2				70077035	70082617
ENSMUSG00000024772.9	Ehd1	19	+	ENSMUST00000025684.3		6276724	6300096	6276929	6300091
ENSMUSG00000024772.9	Ehd1	19	+	ENSMUST00000165797.1	TRUE	6276924	6281392	6276929	?
ENSMUSG00000001542.7	Ell2	13	+	ENSMUST00000001583.7		75706756	75772364	75707550	75772357
ENSMUSG00000028967.10	Errfi1	4	+	ENSMUST00000030811.1		150855072	150868887	150855082	150868886
ENSMUSG00000028967.10	Errfi1	4	+	ENSMUST00000128640.7	TRUE	150855072	150855814	150855082	?
ENSMUSG00000022895.14	Ets2	16	+	ENSMUST00000023612.14		95702074	95721051	95702449	95721049
ENSMUSG00000027963.14	Extl2	3	+	ENSMUST00000029575.11		116007461	116029017	116007486	116029000
ENSMUSG00000027963.14	Extl2	3	+	ENSMUST00000106502.1		116008219	116028960	116008329	116029000
ENSMUSG00000027963.14	Extl2	3	+	Unannotated – Additional exon between 2 and 3				?	116029000
ENSMUSG00000052397.8	Ezr	17	-	ENSMUST00000064234.6		6782784	6738040	6782741	6738277
ENSMUSG00000031444.16	F10	8	+	ENSMUST00000033821.10		13037321	13055900	13037374	13055903
ENSMUSG00000031444.16	F10	8	+	ENSMUST00000063820.11	TRUE	13037307	13056676	13037374	13056676
ENSMUSG00000031444.16	F10	8	+	Longer Isoform				13037374	13056676
ENSMUSG00000028773.8	Fabp3	4	+	ENSMUST00000070532.7		130308594	130315463	130308725	130315459
ENSMUSG00000026483.13	Fam129a	1	+	ENSMUST00000148810.7		151571372	151721939	151571444	151721937
ENSMUSG00000026483.13	Fam129a	1	+	ENSMUST00000086267.5	TRUE	151677166	151719342	?	151721937
ENSMUSG00000025854.15	Fam20c	5	+	ENSMUST00000026972.7		138754513	138810077	138754525	138810073
ENSMUSG00000025854.15	Fam20c	5	+	ENSMUST00000160645.7		138755082	138809381	138754525	138810073
ENSMUSG00000025854.15	Fam20c	5	+	ENSMUST00000159176.7	TRUE	138786499	138809159	?	138810073
ENSMUSG00000039735.15	Fnbp1l	3	-	ENSMUST00000162409.7		122619715	122538724	122619666	122538731
ENSMUSG00000021250.13	Fos	12	+	ENSMUST00000021674.6		85473889	85477273	85473900	85477242
ENSMUSG00000003545.3	Fosb	7	-	ENSMUST00000003640.3		19310051	19302695	19310035	19302725
ENSMUSG00000003545.3	Fosb	7	-	ENSMUST00000208446.1		19309600	19304796	19310035	19302725
ENSMUSG00000003545.3	Fosb	7	-	ENSMUST00000208505.1		19310046	19302701	19310035	19302725
ENSMUSG00000029135.10	Fosl2	5	+	ENSMUST00000031017.10		32135800	32157842	32135859	32157837
ENSMUSG00000023991.16	Foxp4	17	-	ENSMUST00000113265.7		47924645	47867132	47924472	47867134
ENSMUSG00000023991.16	Foxp4	17	-	ENSMUST00000113262.1		47924476	47867767	47924472	47867779
ENSMUSG00000023991.16	Foxp4	17	-	ENSMUST00000097311.8		47924435	47867763	47924472	47867779
ENSMUSG00000048285.9	Frmd6	12	+	ENSMUST00000057859.8		70825513	70902234	70825475	70902205
ENSMUSG00000015312.9	Gadd45b	10	+	ENSMUST00000015456.9		80930072	80932204	80930083	80932203
ENSMUSG00000033066.15	Gas7	11	+	ENSMUST00000108682.8		67586535	67688990	67586541	67688991
ENSMUSG00000028270.12	Gbp2	3	+	ENSMUST00000165774.7		142620601	142638008	142620669	142638004
ENSMUSG00000105504.4	Gbp5	3	+	ENSMUST00000090127.6		142496899	142522344	142496942	142522153
ENSMUSG00000105504.4	Gbp5	3	+	ENSMUST00000196255.4		142496933	142522139	142496942	142522153
ENSMUSG00000105504.4	Gbp5	3	+	ENSMUST00000199578.1	TRUE	142502795	142507344	?	?
ENSMUSG00000037580.9	Gch1	14	-	ENSMUST00000089959.6		47189413	47153894	47189406	47154015
ENSMUSG00000037580.9	Gch1	14	-	Shorter Isoform				47189406	47155711
ENSMUSG00000038508.7	Gdf15	8	-	ENSMUST00000003808.7		70632095	70629392	70631635	70629404
ENSMUSG00000038508.7	Gdf15	8	-	ENSMUST00000110103.1		70632456	70629393	70632152	70629404
ENSMUSG00000028214.13	Gem	4	+	ENSMUST00000108304.8		11704456	11714752	11704453	11714644
ENSMUSG00000028214.13	Gem	4	+	Longer Isoform				11704453	11715000
ENSMUSG00000002797.9	Ggct	6	-	ENSMUST00000131475.1		54992950	54982579	54992852	54985651
ENSMUSG00000002797.9	Ggct	6	-	ENSMUST00000204301.2		54992861	54985931	54992852	54985651
ENSMUSG00000002797.9	Ggct	6	-	ENSMUST00000002874.7	TRUE	54992707	54985647	?	54985651
ENSMUSG00000021303.14	Gng4	13	+	ENSMUST00000021734.8		13784328	13827896	13784332	13827886
ENSMUSG00000021298.8	Gpr132	12	-	ENSMUST00000021729.8		112860952	112850872	112860952	112850882
ENSMUSG00000048216.13	Gpr85	6	-	ENSMUST00000060442.13		13839942	13834457	13839888	13835129
ENSMUSG00000048216.13	Gpr85	6	-	ENSMUST00000115492.1		13838454	13835067	13838425	13835127
ENSMUSG00000048216.13	Gpr85	6	-	ENSMUST00000115491.1	TRUE	13837241	13835076	?	13835067
ENSMUSG00000048216.13	Gpr85	6	-	ENSMUST00000127072.1		13839495	13838073	13839504	13838067
ENSMUSG00000048216.13	Gpr85	6	-	Longer Isoform				13839888	13834595
ENSMUSG00000016283.13	H2-M2	17	-	ENSMUST00000171139.2		37483552	37480982	37483559	37480426
ENSMUSG00000016283.13	H2-M2	17	-	ENSMUST00000016427.10		37483551	37480850	37483559	37480426
ENSMUSG00000073409.12	H2-Q6	17	+	ENSMUST00000174699.7		35424849	35430055	35424863	35430026
ENSMUSG00000073409.12	H2-Q6	17	+	Unannotated – Additional exon between 5 and 6				35424863	35430026
ENSMUSG00000060550.15	H2-Q7	17	+	ENSMUST00000071951.12		35439154	35443643	35439207	35443621
ENSMUSG00000060550.15	H2-Q7	17	+	ENSMUST00000116598.9		35439154	35443773	35439207	35443756
ENSMUSG00000060550.15	H2-Q7	17	+	ENSMUST00000173788.1		35439206	35443769	35439207	35443756
ENSMUSG00000024486.5	Hbegf	18	-	ENSMUST00000025363.5		36515805	36504928	36515768	36504942
ENSMUSG00000027580.17	Helz2	2	-	ENSMUST00000108831.7		181242027	181227614	181241997	181227647
ENSMUSG00000027580.17	Helz2	2	-	ENSMUST00000121484.1		181241963	181227618	181241951	181227647
ENSMUSG00000027580.17	Helz2	2	-	Unannotated – ENSMUST00000108831.7 with ENSMUST00000121484.1 first exon instead of the one it has				181241951	181227647
ENSMUSG00000043421.8	Hilpda	6	+	ENSMUST00000054445.8		29272625	29275446	29272718	29275433
ENSMUSG00000021366.8	Hivep1	13	+	ENSMUST00000060148.5		42052020	42185026	42052028	42185028
ENSMUSG00000021366.8	Hivep1	13	+	ENSMUST00000220525.1	TRUE	42052403	42154631	42052295	?
ENSMUSG00000015501.10	Hivep2	10	+	ENSMUST00000187083.6	TRUE	13966074	14150589	13966103	14151337
ENSMUSG00000015501.10	Hivep2	10	+	ENSMUST00000015645.10		13966378	14151373	13965848	14151337
ENSMUSG00000015501.10	Hivep2	10	+	ENSMUST00000191138.6		13966378	14151374	13965848	14151337
ENSMUSG00000015501.10	Hivep2	10	+	ENSMUST00000186989.6	TRUE	13966645	14128780	13965848	?
ENSMUSG00000015501.10	Hivep2	10	+	Unannotated – Similar to ENSMUST00000191138.6 or ENSMUST00000015645.10 but with the 2nd exon of ENSMUST00000187083.6				13966109	14151337
ENSMUSG00000024095.15	Hnrnpll	17	-	ENSMUST00000184635.7		80062227	80029486	80062230	80029519
ENSMUSG00000024095.15	Hnrnpll	17	-	ENSMUST00000184297.7		80062227	80029836	80062230	80029519
ENSMUSG00000034997.4	Htr2a	14	+	ENSMUST00000036653.3		74640839	74706859	74641324	74709482
ENSMUSG00000006205.13	Htra1	7	+	ENSMUST00000006367.7		130936202	130985660	130936201	130985653
ENSMUSG00000006205.13	Htra1	7	+	ENSMUST00000153290.7		130943488	130985660	130943494	130985653
ENSMUSG00000037405.8	Icam1	9	+	ENSMUST00000086399.5		21015984	21028817	21015994	21028811
ENSMUSG00000037405.8	Icam1	9	+	Longer Isoform				21015404	21028811
ENSMUSG00000000732.9	Icosl	10	+	ENSMUST00000105393.2		78069301	78079525	78069369	78079523
ENSMUSG00000000732.9	Icosl	10	+	ENSMUST00000219633.1	TRUE	78073338	78079525	?	78079523
ENSMUSG00000007872.3	Id3	4	+	ENSMUST00000008016.2		136143496	136145392	136143836	136145387
ENSMUSG00000007872.3	Id3	4	+	ENSMUST00000151001.1	TRUE	136143863	136144716	136143836	?
ENSMUSG00000053560.4	Ier2	8	-	ENSMUST00000060427.4		84662852	84661330	84662841	84661339
ENSMUSG00000054203.7	Ifi205	1	-	ENSMUST00000059226.6		174031755	174011997	174031832	174012001
ENSMUSG00000054203.7	Ifi205	1	-	ENSMUST00000192166.1	TRUE	174031810	174024889	174031832	174024353
ENSMUSG00000048806.4	Ifnb1	4	-	ENSMUST00000055671.4		88522774	88522024	88522833	88522047
ENSMUSG00000001627.12	Ifrd1	12	-	ENSMUST00000001672.11		40223189	40201566	40223168	40203132
ENSMUSG00000001627.12	Ifrd1	12	-	ENSMUST00000164047.1	TRUE	40207062	40203130	?	40203132
ENSMUSG00000001627.12	Ifrd1	12	-	ENSMUST00000165027.8		40217513	40203361	?	40203132
ENSMUSG00000035004.3	Igsf6	7	-	ENSMUST00000047194.3		121074572	121064066	121074538	121064139
ENSMUSG00000035004.3	Igsf6	7	-	Longer Isoform				121074538	121062864
ENSMUSG00000016529.5	Il10	1	+	ENSMUST00000016673.5		131019844	131024974	131019859	131024961
ENSMUSG00000004296.14	Il12b	11	+	ENSMUST00000102796.9		44400062	44414033	44400073	44414680
ENSMUSG00000002897.5	Il17ra	6	+	ENSMUST00000002976.4		120463246	120487559	120463223	120483730
ENSMUSG00000002897.5	Il17ra	6	+	ENSMUST00000204239.2		120463246	120483729	120463223	120483730
ENSMUSG00000002897.5	Il17ra	6	+	ENSMUST00000204078.1	TRUE	120473602	120480038	?	?
ENSMUSG00000027399.1	Il1a	2	-	ENSMUST00000028882.1		129309972	129299609	129309962	129299622
ENSMUSG00000027398.13	Il1b	2	-	ENSMUST00000028881.13		129371139	129364569	129371127	129364623
ENSMUSG00000027398.13	Il1b	2	-	ENSMUST00000155994.1	TRUE	129371139	129369728	129371127	?
ENSMUSG00000026981.15	Il1rn	2	+	ENSMUST00000114482.2		24345309	24350936	24345344	24350938
ENSMUSG00000026981.15	Il1rn	2	+	ENSMUST00000114487.8		24336852	24351494	24336988	24351488
ENSMUSG00000026981.15	Il1rn	2	+	Shorter Isoform				24345428	24350938
ENSMUSG00000025383.2	Il23a	10	-	ENSMUST00000026449.2		128298084	128296138	128298085	128296142
ENSMUSG00000025746.11	Il6	5	+	ENSMUST00000026845.11		30013113	30019975	30013155	30019673
ENSMUSG00000025746.11	Il6	5	+	Longer Isoform				30013155	30019846
ENSMUSG00000018899.16	Irf1	11	+	ENSMUST00000108920.8		53770013	53777323	53770060	53777280
ENSMUSG00000038894.7	Irs2	8	-	ENSMUST00000040514.7		11008458	10984680	11008917	10984721
ENSMUSG00000000555.7	Itga5	15	-	ENSMUST00000023128.7		103366763	103344285	?	103344297
ENSMUSG00000027087.11	Itgav	2	+	ENSMUST00000028499.10		83724396	83806916	83724465	83806916
ENSMUSG00000027087.11	Itgav	2	+	ENSMUST00000141725.2	TRUE	83724451	83747944	83724465	?
ENSMUSG00000027276.7	Jag1	2	-	ENSMUST00000028735.7		137116644	137081455	137116616	137081505
ENSMUSG00000034271.16	Jdp2	12	+	ENSMUST00000050687.13		85599415	85639878	85599491	85639879
ENSMUSG00000034271.16	Jdp2	12	+	ENSMUST00000177587.8		85599026	85639878	85598764	85639879
