# Program:featureCounts v1.5.1; Command:"featureCounts" "-T" "8" "-s" "2" "-S" "fr" "-p" "-B" "-C" "-P" "-d" "40" "-D" "40000" "-t" "gene" "-g" "gene_id" "-a" "/opt/ngs_indexes/models/mm/mm10/gencode.vM14.annotation.gtf" "-o" "merged_counts_final/chromatin.Naive.b1/D40000/all/all_counts.txt" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.010.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.015.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.020.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.025.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.030.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.035.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.040.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.050.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.060.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.090.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.120.b1.bam" 
Geneid	Chr	Start	End	Strand	Length	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.010.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.015.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.020.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.025.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.030.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.035.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.040.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.050.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.060.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.090.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.120.b1.bam
ENSMUSG00000104046.1	chr1	5307739	5310017	+	2279	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000102907.1	chr1	5403547	5405578	+	2032	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025905.13	chr1	5588466	5606131	+	17666	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103936.1	chr1	5617837	5618230	-	394	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093015.1	chr1	5644645	5644745	-	101	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103519.1	chr1	5842874	5844672	-	1799	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033774.4	chr1	5913707	5917398	-	3692	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103090.1	chr1	6048963	6050045	-	1083	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025907.14	chr1	6206197	6276648	+	70452	7071	9027	8219	9023	8180	10002	11037	9537	8883	3894	2147
ENSMUSG00000090031.2	chr1	6209866	6215293	-	5428	291	325	180	196	151	286	345	374	288	335	72
ENSMUSG00000087247.3	chr1	6359218	6394731	+	35514	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103355.1	chr1	6380394	6381032	+	639	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102706.1	chr1	6382634	6383106	-	473	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103845.1	chr1	6429655	6441296	-	11642	12	7	25	46	95	159	221	359	356	166	131
ENSMUSG00000033740.17	chr1	6487231	6860940	+	373710	52191	66594	90302	80157	85224	76237	66749	60430	75541	89225	79438
ENSMUSG00000103329.2	chr1	6861237	6864151	-	2915	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000104385.1	chr1	6910560	6911222	+	663	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135.1	chr1	6916559	6923588	+	7030	1	0	2	0	0	0	2	0	1	3	1
ENSMUSG00000103282.1	chr1	6929759	6929788	+	30	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534.1	chr1	6998217	6998541	+	325	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102213.1	chr1	7013762	7013920	+	159	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629.1	chr1	7035915	7037217	+	1303	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051285.17	chr1	7088920	7173628	+	84709	10051	15190	10588	12155	7266	9674	7808	6074	5495	6086	3850
ENSMUSG00000098201.1	chr1	7136199	7136586	-	388	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103509.1	chr1	7148110	7152137	+	4028	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048538.7	chr1	7177739	7179037	+	1299	2	4	5	7	1	3	1	3	0	0	2
ENSMUSG00000103709.1	chr1	7189742	7189919	-	178	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244.1	chr1	7265803	7265932	+	130	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768.1	chr1	7315451	7316462	+	1012	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797.6	chr1	7349406	7397869	-	48464	259	298	278	213	197	147	100	52	39	26	30
ENSMUSG00000103498.1	chr1	7410679	7411993	+	1315	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067.1	chr1	7497968	7518149	+	20182	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102320.1	chr1	7591646	7591931	+	286	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226.1	chr1	7597379	7599473	+	2095	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903.1	chr1	7664081	7664961	+	881	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557.1	chr1	7728861	7730565	-	1705	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025909.16	chr1	8361475	9299878	-	938404	17	4	12	8	11	11	7	8	7	5	7
ENSMUSG00000102647.1	chr1	8450960	8453491	-	2532	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235.1	chr1	8468426	8468825	-	400	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253.1	chr1	8527780	8531313	-	3534	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093970.1	chr1	8588615	8588724	-	110	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884.1	chr1	8643696	8644859	-	1164	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353.1	chr1	8791923	8792162	-	240	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103933.1	chr1	8815842	8816039	+	198	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076135.1	chr1	8816138	8816247	+	110	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086195.1	chr1	8855928	8856267	-	340	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504.1	chr1	8856763	8857102	+	340	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693.2	chr1	8962996	8963621	-	626	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102316.1	chr1	9191067	9192116	-	1050	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103819.1	chr1	9258617	9259134	-	518	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871.1	chr1	9286922	9290180	+	3259	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571.2	chr1	9396773	9398687	-	1915	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104428.1	chr1	9439741	9440376	-	636	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272.1	chr1	9450579	9451748	+	1170	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065625.1	chr1	9458670	9458772	+	103	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411.1	chr1	9499338	9501522	-	2185	0	1	3	4	4	4	3	5	5	2	2
ENSMUSG00000061024.8	chr1	9545408	9547455	+	2048	77	46	86	83	147	161	181	194	193	138	202
ENSMUSG00000025911.14	chr1	9547948	9580673	+	32726	226	311	533	933	1392	1840	1777	1836	1536	670	472
ENSMUSG00000079671.8	chr1	9560832	9631175	-	70344	420	592	519	450	364	342	239	115	45	38	27
ENSMUSG00000081441.3	chr1	9574548	9575649	+	1102	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067879.3	chr1	9601199	9627143	+	25945	0	0	1	0	0	0	0	0	0	0	3
ENSMUSG00000099827.1	chr1	9639255	9640582	-	1328	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912.16	chr1	9667415	9700209	-	32795	154	252	118	124	86	80	82	112	67	112	103
ENSMUSG00000045210.8	chr1	9718622	9748382	-	29761	5576	5869	4715	4008	3009	3228	3223	4417	4858	12175	9899
ENSMUSG00000097893.8	chr1	9747648	9791924	+	44277	43	59	46	50	19	20	15	14	11	17	26
ENSMUSG00000025915.14	chr1	9798107	9900845	+	102739	8683	9157	8682	8067	4810	5058	3378	2019	2540	17858	20483
ENSMUSG00000046334.4	chr1	9802197	9802553	-	357	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088916.1	chr1	9834498	9834602	-	105	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046101.16	chr1	9908638	9942085	+	33448	85	208	238	393	320	410	355	129	51	28	121
ENSMUSG00000098234.7	chr1	9941959	9944118	-	2160	154	82	80	55	57	46	63	94	126	190	103
ENSMUSG00000093178.1	chr1	9942463	9942549	-	87	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099032.2	chr1	9960163	9967932	-	7770	1	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000104025.1	chr1	9967314	9968687	+	1374	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025916.10	chr1	9968624	10009136	-	40513	3	10	7	13	3	5	5	1	1	2	2
ENSMUSG00000087199.1	chr1	9982387	9992366	+	9980	1	0	0	0	0	0	0	0	0	0	6
ENSMUSG00000095780.1	chr1	10009814	10009917	-	104	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025917.9	chr1	10024601	10038168	-	13568	1193	846	579	324	192	222	250	608	650	1329	590
ENSMUSG00000056763.16	chr1	10037987	10136768	+	98782	5541	6924	6774	6261	4797	4644	3439	2085	1986	3920	3186
ENSMUSG00000102356.1	chr1	10057025	10057944	-	920	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067851.11	chr1	10137571	10232670	-	95100	10004	11577	10399	9904	6741	6836	5765	4502	5004	11052	7812
ENSMUSG00000088153.1	chr1	10166539	10166778	+	240	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102556.1	chr1	10197081	10198802	-	1722	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042501.12	chr1	10324720	10719945	-	395226	2	1	3	2	5	1	2	1	4	2	3
ENSMUSG00000103810.1	chr1	10449245	10451989	-	2745	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083422.1	chr1	10554098	10555553	-	1456	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094979.1	chr1	10555554	10555660	-	107	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081417.1	chr1	10695123	10695614	+	492	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103448.1	chr1	10782456	10784377	-	1922	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100212.1	chr1	10805281	10806522	+	1242	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100648.1	chr1	10868688	10869446	+	759	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088585.1	chr1	10921670	10921760	+	91	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048960.13	chr1	10993465	11303681	+	310217	4	7	4	3	6	3	2	4	2	3	2
ENSMUSG00000077318.1	chr1	11134111	11134238	-	128	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101827.1	chr1	11223566	11224174	-	609	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103494.1	chr1	11363926	11366964	-	3039	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057715.13	chr1	11414105	11975901	+	561797	13	11	13	6	15	14	4	3	9	12	13
ENSMUSG00000103825.1	chr1	11416918	11419388	+	2471	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099845.1	chr1	11608139	11608400	-	262	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103561.1	chr1	11704207	11706350	+	2144	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101610.1	chr1	12120960	12121832	+	873	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093864.1	chr1	12374936	12375042	+	107	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000098555.1	chr1	12425986	12426106	+	121	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097628.1	chr1	12565577	12566383	+	807	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098163.1	chr1	12655867	12656553	+	687	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097171.1	chr1	12667563	12673090	+	5528	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000101314.1	chr1	12670324	12671176	-	853	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016918.15	chr1	12692277	12861192	+	168916	1	2	4	1	3	0	1	3	2	0	1
ENSMUSG00000025938.16	chr1	12866549	12992650	-	126102	24	29	26	17	31	35	24	37	42	74	41
ENSMUSG00000104518.1	chr1	13059401	13059951	-	551	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069620.6	chr1	13062025	13062345	+	321	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099498.1	chr1	13068838	13078662	+	9825	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042414.7	chr1	13113457	13127163	-	13707	3	1	2	0	1	0	0	3	0	1	13
ENSMUSG00000005886.14	chr1	13139105	13374083	-	234979	24158	28717	28084	28842	22941	24585	20747	13747	11359	12969	7982
ENSMUSG00000103506.1	chr1	13177462	13179714	-	2253	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103495.1	chr1	13234809	13236434	-	1626	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099183.1	chr1	13262198	13262279	+	82	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000102639.1	chr1	13289812	13290506	-	695	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104170.1	chr1	13297036	13298907	-	1872	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087782.1	chr1	13334498	13334609	-	112	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103085.1	chr1	13343563	13348204	-	4642	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102664.1	chr1	13354483	13356730	-	2248	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101476.1	chr1	13376070	13388413	+	12344	22	31	9	18	8	10	12	19	4	13	6
ENSMUSG00000101171.1	chr1	13407012	13407655	-	644	0	0	0	3	0	0	0	0	0	0	0
ENSMUSG00000025935.10	chr1	13564698	13589910	-	25213	1750	1603	1199	717	440	457	435	725	687	1256	745
ENSMUSG00000025937.6	chr1	13623330	13660546	-	37217	3267	3584	2567	2311	1128	1307	1267	1725	1719	1851	687
ENSMUSG00000102982.1	chr1	13641483	13642748	-	1266	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067813.3	chr1	13668771	13701723	+	32953	6	5	9	9	6	6	3	4	2	1	0
ENSMUSG00000077368.1	chr1	13774334	13774464	-	131	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097711.1	chr1	13785883	13786879	-	997	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102166.1	chr1	13846871	13849119	-	2249	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089358.1	chr1	13932378	13932685	+	308	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104209.1	chr1	14109215	14112819	-	3605	2	5	6	11	12	11	9	1	2	0	0
ENSMUSG00000025932.14	chr1	14168954	14310235	-	141282	32376	44602	34036	32190	19686	23094	14965	7348	5738	2993	975
ENSMUSG00000095853.1	chr1	14182578	14182677	+	100	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102588.1	chr1	14255552	14255990	-	439	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054493.2	chr1	14752937	14776931	+	23995	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025930.6	chr1	14753346	14755992	-	2647	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103492.1	chr1	14788645	14792965	+	4321	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081201.1	chr1	14839869	14840156	-	288	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082193.1	chr1	14865072	14865965	+	894	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032769.4	chr1	14872648	14918862	-	46215	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088159.1	chr1	15019040	15019159	-	120	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073737.3	chr1	15268802	15269797	-	996	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092083.4	chr1	15287254	15723750	+	436497	0	2	3	0	2	0	2	0	2	1	2
ENSMUSG00000102937.1	chr1	15364302	15365834	+	1533	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104149.1	chr1	15556249	15558337	+	2089	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088829.1	chr1	15685935	15686046	-	112	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077377.1	chr1	15757832	15757963	+	132	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101652.1	chr1	15760122	15760668	-	547	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100814.1	chr1	15760761	15760860	+	100	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025925.14	chr1	15805646	15844052	+	38407	2115	2374	1666	1146	506	452	403	409	419	993	627
ENSMUSG00000104379.1	chr1	15853331	15856499	+	3169	56	70	28	28	8	7	7	7	2	1	2
ENSMUSG00000032719.4	chr1	15853862	15892722	-	38861	2	1	4	0	0	1	0	0	1	1	1
ENSMUSG00000088943.1	chr1	15879530	15879832	+	303	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100652.1	chr1	16053335	16053887	+	553	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067795.13	chr1	16065979	16093325	-	27347	2	3	2	3	0	0	1	1	1	0	1
ENSMUSG00000043716.13	chr1	16101295	16104662	-	3368	386	208	251	145	224	223	205	255	294	306	304
ENSMUSG00000025921.7	chr1	16105774	16133734	+	27961	700	723	533	388	174	155	119	149	98	360	232
ENSMUSG00000104165.1	chr1	16208197	16210517	-	2321	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100868.1	chr1	16228506	16244062	+	15557	0	0	0	1	0	0	2	0	0	0	0
ENSMUSG00000025920.19	chr1	16228674	16520112	-	291439	3801	4511	5222	4876	4527	4191	3342	2218	2078	3162	3857
ENSMUSG00000089982.7	chr1	16253592	16267921	+	14330	0	0	1	0	0	1	0	0	0	0	0
ENSMUSG00000025939.17	chr1	16540790	16619489	-	78700	5584	6633	4893	4551	1736	1905	1418	1191	1952	6933	3842
ENSMUSG00000102457.1	chr1	16618560	16621539	+	2980	5	3	0	1	1	0	2	4	7	11	4
ENSMUSG00000079658.9	chr1	16641725	16657042	-	15318	1136	1265	1161	1199	1053	1196	1094	1330	1575	2590	1544
ENSMUSG00000097744.1	chr1	16657552	16662278	+	4727	1	1	1	1	2	0	0	0	1	1	0
ENSMUSG00000100959.1	chr1	16662980	16663662	-	683	0	1	0	0	0	0	0	0	2	0	0
ENSMUSG00000025940.6	chr1	16665207	16678275	+	13069	530	395	217	122	65	107	135	267	357	923	526
ENSMUSG00000025779.10	chr1	16688051	16709611	+	21561	2787	3457	2765	3049	2679	3563	3498	3842	4377	8686	3881
ENSMUSG00000100093.1	chr1	16758205	16758623	-	419	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091020.3	chr1	16768279	16770138	-	1860	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101640.1	chr1	16898185	17091631	+	193447	1	1	3	1	1	1	2	1	3	2	2
ENSMUSG00000104133.1	chr1	16930970	16931796	+	827	0	0	0	0	0	0	0	0	0	0	0
